id,site,site_id,job_title,area,due_date,work_location,work_type,link,ingestion_ts,is_new
Afry-458fc544-1782-483d-857d-b84a56854aef,Afry,458fc544-1782-483d-857d-b84a56854aef,Apparatobjektplanerare,"Project Management and Management Other Supply Chain, Procurement and Technical Documentation",2025-09-24,Östergötlands län,nan,https://portal.afry.com/available-assignments/search/458fc544-1782-483d-857d-b84a56854aef,2025-09-19 15:56:28,False
A Society-13941,A Society,13941,Microwave Designer ,Engineering,2025-09-04,Göteborg,På plats,https://www.asocietygroup.com/sv/uppdrag/microwave-designer-13941,2025-09-19 15:56:28,False
A Society-14217,A Society,14217,Senior Elektronikkonstruktör,Engineering,2025-10-03,Stockholm,På plats,https://www.asocietygroup.com/sv/uppdrag/senior-elektronikkonstruktr-14217,2025-09-19 15:56:28,False
A Society-14216,A Society,14216,Materialingenjör - Nivå 3 ,Engineering,2025-09-30,Göteborg,På plats,https://www.asocietygroup.com/sv/uppdrag/materialingenjr-niv-3-14216,2025-09-19 15:56:28,False
A Society-14215,A Society,14215,Systemingenjör marina ledningssystem,Engineering,2025-09-30,Stockholm,På plats,https://www.asocietygroup.com/sv/uppdrag/systemingenjr-marina-ledningssystem-14215,2025-09-19 15:56:28,False
A Society-14214,A Society,14214,Senior Data Engineer (DW/Qlik),IT,2025-09-26,Malmö/Lund,På plats,https://www.asocietygroup.com/sv/uppdrag/senior-data-engineer-dwqlik-14214,2025-09-19 15:56:28,False
A Society-14213,A Society,14213,Data Engineer (senior),IT,2025-09-26,Malmö/Lund,På plats,https://www.asocietygroup.com/sv/uppdrag/data-engineer-senior-14213,2025-09-19 15:56:28,False
A Society-13748,A Society,13748,Projektledare riskbedömning kemiska produkter,Engineering,2025-10-03,Jönköping,På plats,https://www.asocietygroup.com/sv/uppdrag/projektledare-riskbedmning-kemiska-produkter-13748,2025-09-19 15:56:28,False
Emagine-170679,Emagine,170679,Product Domain Lead,Project Delivery,nan,Stockholm Metropolitan Area,Hybrid,https://portal.emagine.org/jobs/170679/product-domain-lead,2025-09-19 15:56:30,False
Emagine-170678,Emagine,170678,Konsult inom infrastruktur och drift,IT Infrastructure & Operations,nan,Stockholm Metropolitan Area,Onsite,https://portal.emagine.org/jobs/170678/konsult-inom-infrastruktur-och-drift,2025-09-19 15:56:30,False
Emagine-170674,Emagine,170674,Senior Software Engineer/Principal Engineer - Golang,Software Development,nan,Stockholm Metropolitan Area,Hybrid,https://portal.emagine.org/jobs/170674/senior-software-engineerprincipal-engineer-golang,2025-09-19 15:56:30,False
Emagine-170673,Emagine,170673,UX/UI Designer - Website redesign project,"UX, UI & Visual Design",nan,Stockholm Metropolitan Area,Onsite,https://portal.emagine.org/jobs/170673/uxui-designer-website-redesign-project,2025-09-19 15:56:30,False
Ework-71153,Ework,71153,IT Säkerhetstekniker,"Router, TCP, Cisco, nätverksprodukter, Switching, IP",2025-09-25T23:59:00+02:00,Stockholm,På plats,https://app.verama.com/sv/job-requests/71153,2025-09-19 15:56:34,False
Ework-71148,Ework,71148,"Project Manager – Carve-out, Systems & Applications Coordina","IS/IT, IS/IT-Project, IT Project Management Methodologies, Data Migration, IS Technology, Agile Project Management, IS/IT-Project",2025-09-24T23:59:00+02:00,Vasteras,På plats,https://app.verama.com/sv/job-requests/71148,2025-09-19 15:56:34,False
Ework-71145,Ework,71145,Functional Analyst,"SAP, MES, Business Systems, Business flow, System Developer, Requirements Analysis, Digitalization Manufacturing",2025-09-24T23:59:00+02:00,Vasteras,På plats,https://app.verama.com/sv/job-requests/71145,2025-09-19 15:56:34,False
Ework-71143,Ework,71143,Uppdatering av elegenkontrollprogram,"elegenkontrollprogram, elanläggning",2025-09-24T23:59:00+02:00,Falkenberg,Remote,https://app.verama.com/sv/job-requests/71143,2025-09-19 15:56:34,False
Ework-71141,Ework,71141,"Stöd beträffande datahantering, utveckling och analys",GIS,2025-09-24T23:59:00+02:00,Stockholm,På plats,https://app.verama.com/sv/job-requests/71141,2025-09-19 15:56:34,False
